STATE_NAME,STATE_CODE,AGE_GROUP,CAUSE_OF_DEATH,TOTAL_DEATHS,TOTAL_POPULATION
Iowa,19,65-74 years,Heart Diseases,1291,311447
Ohio,39,75-84 years,Other Causes,6968,600805
New York,36,85+ years,Stroke,2692,460001
Colorado,8,55-64 years,Influenza & Pneumonia,66,713013
Ohio,39,65-74 years,Chronic Respiratory Diseases,1912,1189243
Illinois,17,55-64 years,COVID-19,1784,1658283
Ohio,39,55-64 years,Heart Diseases,3867,1604683
New Jersey,34,55-64 years,Other Causes,2105,1223649
Kentucky,21,85+ years,Alzheimer & Brain Degeneration Disease,1209,81868
Alaska,2,65-74 years,Motor Vehicle Accidents,12,61300
Tennessee,47,75-84 years,Other Causes,3752,340228
North Carolina,37,85+ years,Other Accidents,859,189394
Georgia,13,85+ years,Stroke,1526,151069
South Dakota,46,65-74 years,Cancer,466,89216
Michigan,26,75-84 years,Other Causes,4853,514685
Texas,48,65-74 years,Cancer,12047,2245028
Minnesota,27,65-74 years,Cancer,2721,531059
New York,36,75-84 years,Other Causes,8185,976223
Mississippi,28,65-74 years,Alzheimer & Brain Degeneration Disease,180,288955
Kansas,20,85+ years,Kidney Disease,207,65678
Wyoming,56,1-14 years,Other Causes,11,83306
Michigan,26,65-74 years,Chronic Respiratory Diseases,1491,1037580
New Mexico,35,75-84 years,Stroke,251,111714
Arkansas,5,65-74 years,COVID-19,764,302829
Louisiana,22,65-74 years,Influenza & Pneumonia,119,442534
Kentucky,21,65-74 years,Stroke,425,447876
Oregon,41,15-24 years,Other Accidents,45,510237
New York,36,35-44 years,Motor Vehicle Accidents,117,2429961
Washington,53,75-84 years,Alzheimer & Brain Degeneration Disease,1145,339621
Texas,48,45-54 years,Stroke,559,3554098
Tennessee,47,65-74 years,Motor Vehicle Accidents,132,681396
Massachusetts,25,65-74 years,Diabetes,299,673305
Washington,53,85+ years,Influenza & Pneumonia,338,134578
Utah,49,85+ years,Heart Diseases,1757,38574
Colorado,8,65-74 years,Cancer,2318,522131
West Virginia,54,75-84 years,Cancer,1265,109552
New York,36,65-74 years,Cancer,9159,1859922
New York,36,55-64 years,Kidney Disease,248,2597156
New Jersey,34,85+ years,Stroke,1608,203104
Oklahoma,40,85+ years,Stroke,624,74163
Wyoming,56,75-84 years,Diabetes,43,27598
California,6,45-54 years,Motor Vehicle Accidents,588,4979745
North Carolina,37,65-74 years,Other Accidents,413,1046508
Florida,12,85+ years,Motor Vehicle Accidents,150,581454
South Carolina,45,65-74 years,Other Accidents,225,570600
Missouri,29,85+ years,Heart Diseases,5434,133531
Massachusetts,25,85+ years,Motor Vehicle Accidents,22,159523
Oregon,41,85+ years,Kidney Disease,155,84538
Indiana,18,55-64 years,Alzheimer & Brain Degeneration Disease,41,875082
California,6,55-64 years,Influenza & Pneumonia,554,4786635
Missouri,29,55-64 years,Heart Diseases,2093,830732
Ohio,39,45-54 years,Other Accidents,983,1447581
Georgia,13,15-24 years,Motor Vehicle Accidents,236,1449500
Idaho,16,55-64 years,Alzheimer & Brain Degeneration Disease,10,218360
New Mexico,35,65-74 years,Chronic Respiratory Diseases,251,224483
Georgia,13,45-54 years,Other Accidents,406,1399652
Louisiana,22,75-84 years,Chronic Respiratory Diseases,667,216431
Arkansas,5,55-64 years,Stroke,187,385994
Idaho,16,75-84 years,Stroke,221,85030
South Carolina,45,35-44 years,Motor Vehicle Accidents,181,620504
Georgia,13,75-84 years,Other Causes,4335,439884
North Carolina,37,45-54 years,Other Accidents,533,1364067
New Jersey,34,75-84 years,Diabetes,488,439565
Illinois,17,75-84 years,Influenza & Pneumonia,515,600230
Wyoming,56,25-34 years,Motor Vehicle Accidents,21,76433
Louisiana,22,15-24 years,Diabetes,10,597268
Texas,48,25-34 years,Stroke,52,4276763
Louisiana,22,55-64 years,Diabetes,269,604670
Iowa,19,75-84 years,Alzheimer & Brain Degeneration Disease,418,162833
Nebraska,31,45-54 years,Other Causes,140,215808
Wyoming,56,85+ years,Cancer,161,10991
Virginia,51,85+ years,Heart Diseases,5730,154485
Hawaii,15,35-44 years,Other Accidents,54,181803
Nevada,32,35-44 years,Diabetes,28,410505
Nevada,32,65-74 years,Diabetes,238,303363
Maryland,24,85+ years,Chronic Respiratory Diseases,628,119393
Minnesota,27,85+ years,Chronic Respiratory Diseases,716,122610
Arizona,4,55-64 years,Heart Diseases,1449,880794
Washington,53,65-74 years,Cancer,3759,735524
Arkansas,5,15-24 years,Other Accidents,47,397538
Florida,12,75-84 years,Diabetes,1630,1450514
Alaska,2,75-84 years,Heart Diseases,211,23107
South Dakota,46,35-44 years,Other Accidents,31,105864
Oklahoma,40,1-14 years,Other Accidents,67,793581
Georgia,13,1-14 years,Motor Vehicle Accidents,58,2069569
South Carolina,45,75-84 years,Heart Diseases,2780,275013
Pennsylvania,42,65-74 years,Cancer,7563,1354093
Texas,48,35-44 years,Other Accidents,927,3942439
Oregon,41,65-74 years,Diabetes,372,464598
Pennsylvania,42,85+ years,Heart Diseases,14459,332112
Maine,23,85+ years,Stroke,291,33800
Nebraska,31,55-64 years,Stroke,61,242293
Connecticut,9,45-54 years,Other Causes,312,476905
California,6,65-74 years,Influenza & Pneumonia,951,3386670
North Carolina,37,55-64 years,Other Causes,3175,1362125
Nevada,32,75-84 years,Stroke,377,147793
Oklahoma,40,45-54 years,Diabetes,104,453536
Arkansas,5,85+ years,Motor Vehicle Accidents,15,59912
Arkansas,5,65-74 years,Kidney Disease,151,302829
Oregon,41,15-24 years,Cancer,12,510237
New York,36,35-44 years,Chronic Respiratory Diseases,36,2429961
Minnesota,27,55-64 years,COVID-19,375,756421
New York,36,65-74 years,Motor Vehicle Accidents,156,1859922
Maryland,24,25-34 years,COVID-19,46,829249
Connecticut,9,15-24 years,Other Causes,63,478803
Georgia,13,15-24 years,Heart Diseases,23,1449500
Minnesota,27,45-54 years,Kidney Disease,15,673361
Indiana,18,65-74 years,Kidney Disease,339,636737
South Carolina,45,35-44 years,Cancer,179,620504
Illinois,17,75-84 years,Kidney Disease,785,600230
Wyoming,56,25-34 years,Other Causes,24,76433
Louisiana,22,15-24 years,Heart Diseases,15,597268
Texas,48,25-34 years,Influenza & Pneumonia,39,4276763
Louisiana,22,55-64 years,Kidney Disease,148,604670
Iowa,19,75-84 years,Heart Diseases,1894,162833
Nebraska,31,45-54 years,Diabetes,35,215808
Wyoming,56,85+ years,Chronic Respiratory Diseases,89,10991
Virginia,51,85+ years,Influenza & Pneumonia,410,154485
Hawaii,15,35-44 years,Heart Diseases,42,181803
Nevada,32,35-44 years,Motor Vehicle Accidents,35,410505
Nevada,32,65-74 years,Motor Vehicle Accidents,38,303363
Maryland,24,85+ years,COVID-19,1867,119393
Minnesota,27,85+ years,Diabetes,333,122610
Arizona,4,55-64 years,Chronic Respiratory Diseases,359,880794
Washington,53,65-74 years,Chronic Respiratory Diseases,856,735524
Arkansas,5,15-24 years,Cancer,17,397538
Florida,12,75-84 years,Influenza & Pneumonia,681,1450514
Alaska,2,75-84 years,Chronic Respiratory Diseases,58,23107
South Dakota,46,35-44 years,Motor Vehicle Accidents,22,105864
Oklahoma,40,1-14 years,Other Causes,253,793581
Georgia,13,1-14 years,Other Causes,797,2069569
South Carolina,45,75-84 years,Alzheimer & Brain Degeneration Disease,1003,275013
Pennsylvania,42,65-74 years,Kidney Disease,617,1354093
Delaware,10,15-24 years,Other Accidents,25,117372
Oregon,41,65-74 years,Chronic Respiratory Diseases,574,464598
Pennsylvania,42,85+ years,Alzheimer & Brain Degeneration Disease,3472,332112
Maine,23,85+ years,Alzheimer & Brain Degeneration Disease,386,33800
Nebraska,31,55-64 years,Chronic Respiratory Diseases,148,242293
Connecticut,9,45-54 years,COVID-19,147,476905
North Carolina,37,55-64 years,Influenza & Pneumonia,191,1362125
Nevada,32,75-84 years,COVID-19,958,147793
Oklahoma,40,45-54 years,Motor Vehicle Accidents,105,453536
Arkansas,5,85+ years,Alzheimer & Brain Degeneration Disease,1353,59912
Arkansas,5,65-74 years,Stroke,298,302829
Oregon,41,15-24 years,Motor Vehicle Accidents,92,510237
New York,36,35-44 years,Other Accidents,864,2429961
Minnesota,27,55-64 years,Other Accidents,271,756421
New York,36,65-74 years,Kidney Disease,488,1859922
Maryland,24,25-34 years,Influenza & Pneumonia,15,829249
Connecticut,9,15-24 years,Motor Vehicle Accidents,48,478803
Georgia,13,15-24 years,Cancer,50,1449500
Minnesota,27,45-54 years,Other Causes,539,673361
Indiana,18,65-74 years,Diabetes,549,636737
South Carolina,45,35-44 years,Influenza & Pneumonia,16,620504
Illinois,17,75-84 years,Diabetes,714,600230
Louisiana,22,15-24 years,Motor Vehicle Accidents,110,597268
Texas,48,25-34 years,Kidney Disease,40,4276763
Louisiana,22,55-64 years,Chronic Respiratory Diseases,306,604670
Iowa,19,75-84 years,Diabetes,209,162833
Nebraska,31,45-54 years,Motor Vehicle Accidents,35,215808
Wyoming,56,85+ years,Influenza & Pneumonia,49,10991
Virginia,51,85+ years,Motor Vehicle Accidents,35,154485
Hawaii,15,35-44 years,Other Causes,62,181803
Nevada,32,35-44 years,Heart Diseases,105,410505
Nevada,32,65-74 years,Cancer,1694,303363
Maryland,24,85+ years,Heart Diseases,4625,119393
Minnesota,27,85+ years,Kidney Disease,247,122610
Arizona,4,55-64 years,Other Accidents,508,880794
Washington,53,65-74 years,Alzheimer & Brain Degeneration Disease,301,735524
Arkansas,5,15-24 years,Other Causes,154,397538
Florida,12,75-84 years,Alzheimer & Brain Degeneration Disease,2948,1450514
Alaska,2,75-84 years,Influenza & Pneumonia,10,23107
South Dakota,46,35-44 years,Cancer,27,105864
Oklahoma,40,1-14 years,Motor Vehicle Accidents,19,793581
Georgia,13,1-14 years,Other Accidents,86,2069569
South Carolina,45,75-84 years,Motor Vehicle Accidents,65,275013
Pennsylvania,42,65-74 years,Chronic Respiratory Diseases,1457,1354093
Delaware,10,15-24 years,Other Causes,17,117372
Oregon,41,65-74 years,COVID-19,265,464598
Pennsylvania,42,85+ years,COVID-19,7025,332112
Maine,23,85+ years,Influenza & Pneumonia,123,33800
Nebraska,31,55-64 years,Diabetes,95,242293
Connecticut,9,45-54 years,Stroke,26,476905
North Carolina,37,55-64 years,Alzheimer & Brain Degeneration Disease,81,1362125
Nevada,32,75-84 years,Kidney Disease,87,147793
Oklahoma,40,45-54 years,Kidney Disease,22,453536
Arkansas,5,85+ years,Other Accidents,150,59912
Arkansas,5,65-74 years,Heart Diseases,1920,302829
Oregon,41,15-24 years,Other Causes,123,510237
New York,36,35-44 years,Stroke,65,2429961
Minnesota,27,55-64 years,Heart Diseases,823,756421
New York,36,65-74 years,Influenza & Pneumonia,646,1859922
Maryland,24,25-34 years,Other Accidents,183,829249
Connecticut,9,15-24 years,Cancer,13,478803
Georgia,13,15-24 years,Other Causes,468,1449500
Minnesota,27,45-54 years,Influenza & Pneumonia,22,673361
Indiana,18,65-74 years,COVID-19,1653,636737
Illinois,17,75-84 years,COVID-19,4174,600230
Louisiana,22,15-24 years,Other Accidents,71,597268
Texas,48,25-34 years,COVID-19,307,4276763
Louisiana,22,55-64 years,Other Accidents,291,604670
Iowa,19,75-84 years,Cancer,1758,162833
Nebraska,31,45-54 years,Influenza & Pneumonia,14,215808
Wyoming,56,85+ years,Kidney Disease,17,10991
Virginia,51,85+ years,Chronic Respiratory Diseases,961,154485
Hawaii,15,35-44 years,Motor Vehicle Accidents,19,181803
Nevada,32,35-44 years,Other Accidents,123,410505
Nevada,32,65-74 years,Other Causes,976,303363
Maryland,24,85+ years,Influenza & Pneumonia,334,119393
Minnesota,27,85+ years,Cancer,2069,122610
Arizona,4,55-64 years,Alzheimer & Brain Degeneration Disease,56,880794
Washington,53,65-74 years,Diabetes,521,735524
Arkansas,5,15-24 years,Motor Vehicle Accidents,91,397538
Florida,12,75-84 years,Other Causes,10865,1450514
Alaska,2,75-84 years,Alzheimer & Brain Degeneration Disease,52,23107
South Dakota,46,35-44 years,Other Causes,54,105864
Oklahoma,40,1-14 years,Cancer,11,793581
Georgia,13,1-14 years,Cancer,29,2069569
South Carolina,45,75-84 years,Other Accidents,274,275013
Pennsylvania,42,65-74 years,Motor Vehicle Accidents,132,1354093
Delaware,10,15-24 years,Motor Vehicle Accidents,23,117372
Oregon,41,65-74 years,Other Causes,1670,464598
Pennsylvania,42,85+ years,Other Accidents,1291,332112
Maine,23,85+ years,Other Accidents,204,33800
Nebraska,31,55-64 years,Other Accidents,63,242293
Connecticut,9,45-54 years,Influenza & Pneumonia,11,476905
Nevada,32,75-84 years,Motor Vehicle Accidents,33,147793
Oklahoma,40,45-54 years,Influenza & Pneumonia,35,453536
Arkansas,5,85+ years,Chronic Respiratory Diseases,475,59912
Arkansas,5,65-74 years,Other Causes,1052,302829
New York,36,35-44 years,Kidney Disease,19,2429961
Minnesota,27,55-64 years,Chronic Respiratory Diseases,231,756421
New York,36,65-74 years,COVID-19,8036,1859922
Maryland,24,25-34 years,Motor Vehicle Accidents,104,829249
Connecticut,9,15-24 years,Other Accidents,74,478803
Georgia,13,15-24 years,COVID-19,18,1449500
Minnesota,27,45-54 years,Heart Diseases,331,673361
Indiana,18,65-74 years,Other Accidents,240,636737
Illinois,17,75-84 years,Other Accidents,494,600230
Louisiana,22,15-24 years,COVID-19,12,597268
Texas,48,25-34 years,Cancer,346,4276763
Iowa,19,75-84 years,COVID-19,1207,162833
Nebraska,31,45-54 years,COVID-19,81,215808
Wyoming,56,85+ years,Diabetes,31,10991
Nevada,32,35-44 years,Stroke,16,410505
Nevada,32,65-74 years,Chronic Respiratory Diseases,455,303363
Maryland,24,85+ years,Diabetes,295,119393
Minnesota,27,85+ years,Other Causes,4792,122610
Arizona,4,55-64 years,Stroke,235,880794
Washington,53,65-74 years,Heart Diseases,2359,735524
Florida,12,75-84 years,Stroke,3628,1450514
Alaska,2,75-84 years,Cancer,258,23107
South Dakota,46,35-44 years,COVID-19,11,105864
South Carolina,45,75-84 years,Diabetes,425,275013
Pennsylvania,42,65-74 years,Influenza & Pneumonia,377,1354093
Oregon,41,65-74 years,Influenza & Pneumonia,93,464598
Maine,23,85+ years,COVID-19,170,33800
Nevada,32,75-84 years,Influenza & Pneumonia,127,147793
Oklahoma,40,45-54 years,Other Accidents,194,453536
Arkansas,5,85+ years,Other Causes,1382,59912
Arkansas,5,65-74 years,Diabetes,334,302829
New York,36,35-44 years,Heart Diseases,493,2429961
Minnesota,27,55-64 years,Motor Vehicle Accidents,73,756421
New York,36,65-74 years,Other Causes,5631,1859922
Maryland,24,25-34 years,Cancer,71,829249
Georgia,13,15-24 years,Other Accidents,125,1449500
Minnesota,27,45-54 years,Other Accidents,184,673361
Indiana,18,65-74 years,Stroke,582,636737
Illinois,17,75-84 years,Other Causes,5784,600230
Louisiana,22,15-24 years,Cancer,18,597268
Texas,48,25-34 years,Other Causes,1831,4276763
Iowa,19,75-84 years,Other Causes,1585,162833
Nebraska,31,45-54 years,Other Accidents,64,215808
Wyoming,56,85+ years,COVID-19,136,10991
Nevada,32,35-44 years,COVID-19,86,410505
Nevada,32,65-74 years,Other Accidents,144,303363
Maryland,24,85+ years,Alzheimer & Brain Degeneration Disease,1000,119393
Minnesota,27,85+ years,Heart Diseases,4441,122610
Arizona,4,55-64 years,Diabetes,407,880794
Washington,53,65-74 years,Other Causes,2592,735524
Florida,12,75-84 years,Chronic Respiratory Diseases,3905,1450514
Alaska,2,75-84 years,Diabetes,32,23107
South Dakota,46,35-44 years,Heart Diseases,17,105864
South Carolina,45,75-84 years,Cancer,2853,275013
Pennsylvania,42,65-74 years,Stroke,936,1354093
Oregon,41,65-74 years,Motor Vehicle Accidents,74,464598
Maine,23,85+ years,Heart Diseases,1277,33800
Nevada,32,75-84 years,Diabetes,222,147793
Oklahoma,40,45-54 years,COVID-19,211,453536
Arkansas,5,85+ years,Influenza & Pneumonia,185,59912
Arkansas,5,65-74 years,Chronic Respiratory Diseases,652,302829
New York,36,35-44 years,COVID-19,725,2429961
Minnesota,27,55-64 years,Kidney Disease,53,756421
New York,36,65-74 years,Stroke,961,1859922
Maryland,24,25-34 years,Diabetes,22,829249
Minnesota,27,45-54 years,Chronic Respiratory Diseases,37,673361
Indiana,18,65-74 years,Chronic Respiratory Diseases,1242,636737
Illinois,17,75-84 years,Heart Diseases,6300,600230
Louisiana,22,45-54 years,Heart Diseases,704,548348
Texas,48,25-34 years,Chronic Respiratory Diseases,18,4276763
Iowa,19,75-84 years,Chronic Respiratory Diseases,611,162833
Nebraska,31,45-54 years,Chronic Respiratory Diseases,24,215808
Wyoming,56,85+ years,Heart Diseases,399,10991
Nevada,32,35-44 years,Influenza & Pneumonia,13,410505
Nevada,32,65-74 years,Heart Diseases,1652,303363
Maryland,24,85+ years,Other Causes,4234,119393
Minnesota,27,85+ years,Motor Vehicle Accidents,21,122610
Arizona,4,55-64 years,Kidney Disease,87,880794
Washington,53,65-74 years,Motor Vehicle Accidents,94,735524
Florida,12,75-84 years,COVID-19,5789,1450514
South Dakota,46,35-44 years,Diabetes,10,105864
South Carolina,45,75-84 years,Other Causes,2940,275013
Pennsylvania,42,65-74 years,Diabetes,865,1354093
Oregon,41,65-74 years,Alzheimer & Brain Degeneration Disease,213,464598
Maine,23,85+ years,Other Causes,1487,33800
Nevada,32,75-84 years,Heart Diseases,1977,147793
Oklahoma,40,45-54 years,Chronic Respiratory Diseases,80,453536
Arkansas,5,85+ years,Kidney Disease,198,59912
Arkansas,5,65-74 years,Influenza & Pneumonia,126,302829
New York,36,35-44 years,Cancer,611,2429961
Minnesota,27,55-64 years,Other Causes,1251,756421
Texas,48,55-64 years,Stroke,1183,3275242
Maryland,24,25-34 years,Heart Diseases,59,829249
Minnesota,27,45-54 years,Motor Vehicle Accidents,72,673361
Indiana,18,65-74 years,Alzheimer & Brain Degeneration Disease,261,636737
Illinois,17,75-84 years,Cancer,6470,600230
Louisiana,22,45-54 years,Other Causes,706,548348
Texas,48,25-34 years,Motor Vehicle Accidents,777,4276763
Iowa,19,75-84 years,Other Accidents,188,162833
Nebraska,31,45-54 years,Heart Diseases,140,215808
Wyoming,56,85+ years,Stroke,97,10991
Nevada,32,35-44 years,Cancer,107,410505
Maryland,24,85+ years,Kidney Disease,270,119393
Minnesota,27,85+ years,COVID-19,2323,122610
Arizona,4,55-64 years,Motor Vehicle Accidents,156,880794
Washington,53,65-74 years,Other Accidents,330,735524
Florida,12,75-84 years,Kidney Disease,1112,1450514
South Carolina,45,75-84 years,Stroke,793,275013
Pennsylvania,42,65-74 years,Alzheimer & Brain Degeneration Disease,283,1354093
Oregon,41,65-74 years,Cancer,2469,464598
Maine,23,85+ years,Cancer,612,33800
Nevada,32,75-84 years,Other Accidents,139,147793
Oklahoma,40,45-54 years,Other Causes,575,453536
Arkansas,5,85+ years,Cancer,896,59912
Arkansas,5,65-74 years,Cancer,1962,302829
New York,36,35-44 years,Diabetes,93,2429961
Minnesota,27,55-64 years,Diabetes,226,756421
Texas,48,55-64 years,Cancer,8393,3275242
Maryland,24,25-34 years,Other Causes,772,829249
Minnesota,27,45-54 years,Alzheimer & Brain Degeneration Disease,11,673361
Indiana,18,65-74 years,Heart Diseases,2924,636737
Illinois,17,75-84 years,Alzheimer & Brain Degeneration Disease,1232,600230
Louisiana,22,45-54 years,COVID-19,350,548348
Texas,48,25-34 years,Other Accidents,808,4276763
Iowa,19,75-84 years,Motor Vehicle Accidents,36,162833
Nebraska,31,45-54 years,Stroke,23,215808
Wyoming,56,85+ years,Other Causes,311,10991
Nevada,32,35-44 years,Other Causes,215,410505
Maryland,24,85+ years,Cancer,1820,119393
Minnesota,27,85+ years,Alzheimer & Brain Degeneration Disease,1877,122610
Arizona,4,55-64 years,COVID-19,1244,880794
Washington,53,65-74 years,COVID-19,686,735524
Florida,12,75-84 years,Heart Diseases,12563,1450514
South Carolina,45,75-84 years,COVID-19,1613,275013
Pennsylvania,42,65-74 years,Heart Diseases,5579,1354093
Oregon,41,65-74 years,Other Accidents,198,464598
Maine,23,85+ years,Kidney Disease,85,33800
Nevada,32,75-84 years,Other Causes,1031,147793
Oklahoma,40,45-54 years,Stroke,83,453536
Arkansas,5,85+ years,COVID-19,1073,59912
Arkansas,5,65-74 years,Alzheimer & Brain Degeneration Disease,175,302829
New York,36,35-44 years,Influenza & Pneumonia,70,2429961
Minnesota,27,55-64 years,Influenza & Pneumonia,69,756421
Texas,48,55-64 years,Chronic Respiratory Diseases,1214,3275242
Minnesota,27,45-54 years,Diabetes,76,673361
Indiana,18,65-74 years,Cancer,3975,636737
Illinois,17,75-84 years,Chronic Respiratory Diseases,1730,600230
Louisiana,22,45-54 years,Other Accidents,328,548348
Texas,48,25-34 years,Heart Diseases,349,4276763
Iowa,19,75-84 years,Influenza & Pneumonia,115,162833
Nebraska,31,45-54 years,Cancer,213,215808
Wyoming,56,85+ years,Alzheimer & Brain Degeneration Disease,155,10991
Arizona,4,25-34 years,Cancer,79,1007093
Maryland,24,85+ years,Stroke,1389,119393
Minnesota,27,85+ years,Other Accidents,771,122610
Arizona,4,55-64 years,Cancer,2126,880794
Washington,53,65-74 years,Stroke,477,735524
Florida,12,75-84 years,Cancer,12795,1450514
South Carolina,45,75-84 years,Chronic Respiratory Diseases,963,275013
Pennsylvania,42,65-74 years,COVID-19,3031,1354093
Oregon,41,65-74 years,Heart Diseases,1401,464598
Maine,23,85+ years,Diabetes,83,33800
Nevada,32,75-84 years,Alzheimer & Brain Degeneration Disease,354,147793
Oklahoma,40,45-54 years,Heart Diseases,621,453536
Arkansas,5,85+ years,Stroke,529,59912
Arkansas,5,65-74 years,Motor Vehicle Accidents,69,302829
Minnesota,27,55-64 years,Cancer,1685,756421
Texas,48,55-64 years,Motor Vehicle Accidents,575,3275242
Minnesota,27,45-54 years,Stroke,62,673361
Indiana,18,65-74 years,Influenza & Pneumonia,187,636737
Illinois,17,75-84 years,Motor Vehicle Accidents,93,600230
Louisiana,22,45-54 years,Chronic Respiratory Diseases,54,548348
Texas,48,25-34 years,Diabetes,79,4276763
Iowa,19,75-84 years,Stroke,344,162833
Wyoming,56,85+ years,Other Accidents,64,10991
Arizona,4,25-34 years,Diabetes,16,1007093
Maryland,24,85+ years,Other Accidents,447,119393
Minnesota,27,85+ years,Stroke,1137,122610
Arizona,4,55-64 years,Other Causes,1764,880794
Washington,53,65-74 years,Kidney Disease,73,735524
Florida,12,75-84 years,Motor Vehicle Accidents,299,1450514
South Carolina,45,75-84 years,Kidney Disease,335,275013
Pennsylvania,42,65-74 years,Other Causes,5485,1354093
Illinois,17,35-44 years,Chronic Respiratory Diseases,27,1637135
Nevada,32,75-84 years,Chronic Respiratory Diseases,632,147793
Oklahoma,40,45-54 years,Cancer,525,453536
Arkansas,5,85+ years,Heart Diseases,2806,59912
Minnesota,27,55-64 years,Stroke,175,756421
Texas,48,55-64 years,COVID-19,4941,3275242
Minnesota,27,45-54 years,COVID-19,133,673361
Indiana,18,65-74 years,Motor Vehicle Accidents,110,636737
Illinois,17,75-84 years,Stroke,1632,600230
Louisiana,22,45-54 years,Influenza & Pneumonia,30,548348
Arizona,4,25-34 years,COVID-19,115,1007093
Minnesota,27,85+ years,Influenza & Pneumonia,243,122610
Illinois,17,35-44 years,Heart Diseases,472,1637135
Nevada,32,75-84 years,Cancer,1481,147793
Arkansas,5,85+ years,Diabetes,168,59912
Minnesota,27,55-64 years,Alzheimer & Brain Degeneration Disease,52,756421
Texas,48,55-64 years,Kidney Disease,660,3275242
Minnesota,27,45-54 years,Cancer,530,673361
Indiana,18,65-74 years,Other Causes,2763,636737
Louisiana,22,45-54 years,Kidney Disease,57,548348
Arizona,4,25-34 years,Heart Diseases,65,1007093
Illinois,17,35-44 years,Other Causes,866,1637135
Texas,48,55-64 years,Heart Diseases,7010,3275242
Louisiana,22,45-54 years,Cancer,595,548348
Arizona,4,25-34 years,Other Accidents,445,1007093
Illinois,17,35-44 years,Other Accidents,715,1637135
Texas,48,55-64 years,Alzheimer & Brain Degeneration Disease,212,3275242
Louisiana,22,45-54 years,Motor Vehicle Accidents,123,548348
Arizona,4,25-34 years,Stroke,18,1007093
Illinois,17,35-44 years,Motor Vehicle Accidents,178,1637135
Texas,48,55-64 years,Other Accidents,1107,3275242
Louisiana,22,45-54 years,Stroke,112,548348
Arizona,4,25-34 years,Motor Vehicle Accidents,164,1007093
Illinois,17,35-44 years,COVID-19,268,1637135
Texas,48,55-64 years,Other Causes,7191,3275242
Louisiana,22,45-54 years,Diabetes,126,548348
Arizona,4,25-34 years,Other Causes,535,1007093
Illinois,17,35-44 years,Kidney Disease,31,1637135
Texas,48,55-64 years,Influenza & Pneumonia,389,3275242
Arizona,4,25-34 years,Chronic Respiratory Diseases,11,1007093
Illinois,17,35-44 years,Diabetes,72,1637135
Texas,48,55-64 years,Diabetes,1301,3275242
Illinois,17,35-44 years,Stroke,56,1637135
Florida,12,1-14 years,Other Accidents,174,3512139
Illinois,17,35-44 years,Influenza & Pneumonia,36,1637135
Florida,12,1-14 years,Influenza & Pneumonia,12,3512139
Illinois,17,35-44 years,Cancer,419,1637135
Florida,12,1-14 years,Other Causes,1169,3512139
Florida,12,1-14 years,Cancer,64,3512139
Florida,12,1-14 years,Motor Vehicle Accidents,82,3512139
Florida,12,1-14 years,Heart Diseases,14,3512139
(All),0,(All),Influenza & Pneumonia,49108,327992223
(All),0,(All),Cancer,599235,327992223
(All),0,(All),COVID-19,350477,327992223
(All),0,(All),Other Accidents,130958,327992223
(All),0,(All),Diabetes,87299,327992223
(All),0,(All),Alzheimer & Brain Degeneration Disease,156495,327992223
(All),0,(All),Chronic Respiratory Diseases,156458,327992223
(All),0,(All),Stroke,149493,327992223
(All),0,(All),Other Causes,668579,327992223
(All),0,(All),Heart Diseases,693076,327992223
(All),0,(All),Motor Vehicle Accidents,40664,327992223
(All),0,(All),Kidney Disease,55309,327992223
Mississippi,28,(All),Alzheimer & Brain Degeneration Disease,1926,2976149
Rhode Island,44,(All),Motor Vehicle Accidents,43,1015358
Alabama,1,(All),Cancer,10256,4903185
Iowa,19,(All),Other Accidents,1138,3155070
Michigan,26,(All),Other Causes,22062,9986857
Pennsylvania,42,(All),COVID-19,16607,12801989
New York,36,(All),Diabetes,4553,19453561
Minnesota,27,(All),Other Causes,11996,5639632
District of Columbia,11,(All),COVID-19,830,669933
Delaware,10,(All),Stroke,581,973764
New Mexico,35,(All),Kidney Disease,320,2096829
New Jersey,34,(All),Other Causes,18931,8882190
Colorado,8,(All),Stroke,1981,5758736
Massachusetts,25,(All),Stroke,2462,6892503
Alaska,2,(All),COVID-19,219,731545
Virginia,51,(All),Cancer,15037,8535519
Indiana,18,(All),Other Accidents,2927,6732219
Maryland,24,(All),Diabetes,1513,6045680
Idaho,16,(All),Cancer,2916,1787065
Nevada,32,(All),Other Causes,4680,3080156
Texas,48,(All),Cancer,41482,28995881
Illinois,17,(All),Cancer,23899,12671821
Oregon,41,(All),COVID-19,1429,4217737
North Dakota,38,(All),COVID-19,1203,762062
Louisiana,22,(All),Other Accidents,2056,4648794
Wisconsin,55,(All),COVID-19,5425,5822434
Nebraska,31,(All),Influenza & Pneumonia,346,1934408
Ohio,39,(All),Other Causes,30264,11689100
Montana,30,(All),Alzheimer & Brain Degeneration Disease,377,1068778
Maine,23,(All),Heart Diseases,3002,1292710
Tennessee,47,(All),Cancer,14377,6829174
California,6,(All),Alzheimer & Brain Degeneration Disease,19714,39512223
Missouri,29,(All),Chronic Respiratory Diseases,3777,6137428
Oklahoma,40,(All),Cancer,8302,3956971
Arizona,4,(All),Motor Vehicle Accidents,1028,7278717
West Virginia,54,(All),Influenza & Pneumonia,388,1792147
Utah,49,(All),Heart Diseases,3969,3205958
Florida,12,(All),Influenza & Pneumonia,2690,21477737
